username,password,role,order_cod,oper_name,host,domain
admin40,Aspen100,viewer,C18,COMMENTS_WAREHOUSE,APEM-C-D12,APEM-C-D12
admin41,Aspen100,manager,C19,CREATE_COMMENT,APEM-C-D12,APEM-C-D12
admin42,Aspen100,viewer,C19,COMMENTS_GENERAL,APEM-C-D12,APEM-C-D12
admin43,Aspen100,viewer,C19,COMMENTS_QC,APEM-C-D12,APEM-C-D12
admin44,Aspen100,viewer,C19,COMMENTS_PRODUCTION,APEM-C-D12,APEM-C-D12
admin45,Aspen100,viewer,C19,COMMENTS_WAREHOUSE,APEM-C-D12,APEM-C-D12
admin46,Aspen100,manager,C20,CREATE_COMMENT,APEM-C-D12,APEM-C-D12
admin47,Aspen100,viewer,C20,COMMENTS_GENERAL,APEM-C-D12,APEM-C-D12
admin48,Aspen100,viewer,C20,COMMENTS_QC,APEM-C-D12,APEM-C-D12
admin49,Aspen100,viewer,C20,COMMENTS_PRODUCTION,APEM-C-D12,APEM-C-D12
admin50,Aspen100,viewer,C20,COMMENTS_WAREHOUSE,APEM-C-D12,APEM-C-D12
admin51,Aspen100,manager,C21,CREATE_COMMENT,APEM-C-D12,APEM-C-D12
admin52,Aspen100,viewer,C21,COMMENTS_GENERAL,APEM-C-D12,APEM-C-D12
admin53,Aspen100,viewer,C21,COMMENTS_QC,APEM-C-D12,APEM-C-D12
admin54,Aspen100,viewer,C21,COMMENTS_PRODUCTION,APEM-C-D12,APEM-C-D12
admin55,Aspen100,viewer,C21,COMMENTS_WAREHOUSE,APEM-C-D12,APEM-C-D12
admin56,Aspen100,manager,C22,CREATE_COMMENT,APEM-C-D12,APEM-C-D12
admin57,Aspen100,viewer,C22,COMMENTS_GENERAL,APEM-C-D12,APEM-C-D12
admin58,Aspen100,viewer,C22,COMMENTS_QC,APEM-C-D12,APEM-C-D12
admin59,Aspen100,viewer,C22,COMMENTS_PRODUCTION,APEM-C-D12,APEM-C-D12
admin60,Aspen100,viewer,C22,COMMENTS_WAREHOUSE,APEM-C-D12,APEM-C-D12
admin61,Aspen100,manager,C23,CREATE_COMMENT,APEM-C-D12,APEM-C-D12
admin62,Aspen100,viewer,C23,COMMENTS_GENERAL,APEM-C-D12,APEM-C-D12
admin63,Aspen100,viewer,C23,COMMENTS_QC,APEM-C-D12,APEM-C-D12
admin64,Aspen100,viewer,C23,COMMENTS_PRODUCTION,APEM-C-D12,APEM-C-D12
admin65,Aspen100,viewer,C23,COMMENTS_WAREHOUSE,APEM-C-D12,APEM-C-D12
admin66,Aspen100,manager,C24,CREATE_COMMENT,APEM-C-D12,APEM-C-D12
admin67,Aspen100,viewer,C24,COMMENTS_GENERAL,APEM-C-D12,APEM-C-D12
admin68,Aspen100,viewer,C24,COMMENTS_QC,APEM-C-D12,APEM-C-D12
admin69,Aspen100,viewer,C24,COMMENTS_PRODUCTION,APEM-C-D12,APEM-C-D12
admin70,Aspen100,viewer,C24,COMMENTS_WAREHOUSE,APEM-C-D12,APEM-C-D12
admin71,Aspen100,manager,C25,CREATE_COMMENT,APEM-C-D12,APEM-C-D12
admin72,Aspen100,viewer,C25,COMMENTS_GENERAL,APEM-C-D12,APEM-C-D12
admin73,Aspen100,viewer,C25,COMMENTS_QC,APEM-C-D12,APEM-C-D12
admin74,Aspen100,viewer,C25,COMMENTS_PRODUCTION,APEM-C-D12,APEM-C-D12
admin75,Aspen100,viewer,C25,COMMENTS_WAREHOUSE,APEM-C-D12,APEM-C-D12
admin76,Aspen100,manager,C26,CREATE_COMMENT,APEM-C-D12,APEM-C-D12
admin77,Aspen100,viewer,C26,COMMENTS_GENERAL,APEM-C-D12,APEM-C-D12
admin78,Aspen100,viewer,C26,COMMENTS_QC,APEM-C-D12,APEM-C-D12
admin79,Aspen100,viewer,C26,COMMENTS_PRODUCTION,APEM-C-D12,APEM-C-D12
admin80,Aspen100,viewer,C26,COMMENTS_WAREHOUSE,APEM-C-D12,APEM-C-D12
